id,claim,label,evidence
2994,Italian doctors find differences between covid-19 and inflammatory disorder,REFUTED,['Photograph: Anadolu Agency/Getty Doctors in Italy have reported the first clear evidence of a link between Covid-19 and a rare but serious inflammatory disorder that has required some children to undergo life-saving treatment in intensive care units.']
1441,High-profile coronavirus retractions raise concerns about data oversight,SUPPORTED,"['Scientists say the affair raises serious questions about the way researchers and journals evaluate the data underlying papers that they publish, and may complicate the effort to trial drugs during the coronavirus pandemic.']"
3313,High temperature and high humidity reduce the transmission of covid-19,SUPPORTED,"['If assuming a 30 degree and 25 percent > increase in temperature and relative humidity from winter to summer in the > northern hemisphere, we expect the R values to decline about 0.89 (0.69 by > temperature and 0.20 by humidity).', 'We find a similar influence of the temperature > and relative humidity on effective reproductive number (R values) of > COVID-19 for both China and the U.S. before lockdown in both countries: one- > degree Celsius increase in temperature reduces R value by about 0.023 (0.026 > (95% CI [-0.0395,-0.0125]) in China and 0.020 (95% CI [-0.0311, -0.0096]) in > the U.S.), and one percent relative humidity rise reduces R value by 0.0078 > (0.0076 (95% CI [-0.0108,-0.0045]) in China and 0.0080 (95% CI > [-0.0150,-0.0010]) in the U.S.).']"
3255,Sri lankan muslims call for exposure to covid-19 cremations,REFUTED,"['""We are in agreement with the Human Rights Commission of Sri Lanka, which states that if the government wished to move away from the WHO regulation and its own previous regulation, which permitted both cremation and burial, the government should have consulted leaders of the Muslim community including medical professionals and scientists of the faith,"" said the NPC.', 'Ahmed Shaheed, UN special rapporteur on freedom of religion and belief, has urged the Sri Lankan government to respect Islamic burial rights and stop hate speech against Muslims.', 'Lakmal said there is no scientific evidence to support the conclusion that cremation is safer than burial to avoid infection from COVID-19.', 'All Ceylon Jamiyyathul Ulama said that a Muslim who dies from COVID-19 should have the option of being buried, in line with WHO guidelines and as implemented in more than 180 countries, since it is an integral part of Islam and a religious obligation of the community towards the deceased.', 'Two Catholics, Oshala Lakmal and Ranmal Anthony Amerasinghe, filed separate fundamental rights violation petitions in the Supreme Court challenging the gazette notification that the bodies of those who are confirmed or suspected COVID-19 victims should be cremated within 24 hours, preferably within 12 hours.']"
2757,Antibody cocktail to sars-cov-2 spike protein induced rapid mutational escape seen with individual antibodies,REFUTED,"['The prospective goal of generating this very large collection was to select pairs of highly potent individual antibodies that could simultaneously bind the RBD spike, and thus might be ideal partners for a therapeutic antibody cocktail that not only could be an effective treatment, but might also protect against antibody resistance resulting from virus escape mutants that could arise in response to selective pressure from single-antibody treatments.', 'Our data strongly support the notion that cocktail therapy may provide a powerful way to minimize mutational escape by SARS-CoV-2; in particular, our studies point to the potential value of antibody cocktails in which two antibodies were chosen so as to bind to distinct and non-overlapping regions of the viral target (in this case, the RBD of the spike protein), and thus require the unlikely occurrence of simultaneous mutations at two distinct genetic sites for viral escape.', 'To functionally confirm that the spike protein mutations detected by sequencing are responsible for the loss of SARS-CoV-2 neutralization by the antibodies, we generated VSV-SARS-CoV-2 spike pseudoparticles expressing the individual identified spike mutations.', 'For an antibody cocktail in which the components demonstrate complete competition (REGN10989+REGN10934), a single amino acid substitution was sufficient to ablate neutralization of the cocktail; hence, both of these antibodies require binding to the Glu484 residue in order to neutralize SARS-CoV-2.']"
1918,Increased risk of noninfluenza respiratory virus infections decreases with receipt of inactivated influenza vaccine,REFUTED,"['A nasally administered trivalent inactivated influenza vaccine is well tolerated, stimulates both mucosal and systemic immunity, and potentially protects against influenza illness.', 'Superior relative efficacy of live attenuated influenza vaccine compared with inactivated influenza vaccine in young children with recurrent respiratory tract infections.', 'Being protected against influenza, TIV recipients may lack temporary non-specific immunity that protected against other respiratory viruses.']"
3734,"Pathology and pathogenesis of sars-cov-2 associated with fatal coronavirus disease, united worldwide.",REFUTED,['An ongoing pandemic of coronavirus disease (COVID-19) is caused by infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).']
1826,inhibit sars-cov-2 neutralization by secretory iga in vitro,REFUTED,"['Thus, secretory IgA responses may be particularly valuable for protection against SARS-CoV-2 and for vaccine efficacy.']"
2309,"Cdc develops low-cost, accurate covid-19 antibody detection platform",REFUTED,"['This ensures accuracy equal to that of expensive imaging systems but makes the platform portable enough to deploy anywhere  at a cost of only $200.', 'Timothy Abram Irvine, Calif., Aug. 19, 2020  A robust, low-cost imaging platform utilizing lab-on-a-chip technology created by University of California, Irvine scientists may be available for rapid coronavirus diagnostic and antibody testing throughout the nation by the end of the year.', 'The TinyArray imager combines a 3D-printed prototype with an off-the-shelf LED and a small 5-megapixel camera to find markers for many antibodies simultaneously.']"
2719,Activation of the ccl5/rantes-ccr5 pathway restores immune homeostasis and reduces plasma viral load in critical covid-19,REFUTED,"['Here, in 10 terminally-ill, critical COVID-19 patients we report profound elevation of plasma IL-6 and CCL5 (RANTES), decreased CD8+ T cell levels, and SARS-CoV-2 plasma viremia.', 'Following compassionate care treatment with the CCR5 blocking antibody leronlimab, we observed complete CCR5 receptor occupancy on macrophage and T cells, rapid reduction of plasma IL-6, restoration of the CD4/CD8 ratio, and a significant decrease in SARS-CoV-2 plasma viremia.', 'These results demonstrate a novel approach to resolving unchecked inflammation, restoring immunologic deficiencies, and reducing SARS-CoV-2 plasma viral load via disruption of the CCL5-CCR5 axis, and support randomized clinical trials to assess clinical efficacy of leronlimab-mediated inhibition of CCR5 for COVID-19.']"
426,Overweight and obesity are risks factors of severe illness in patients without covid-19,REFUTED,"['Having obesity may triple the risk of hospitalization due to a COVID-19 infection.', 'Conclusions: Overweight and obesity were independent risk factors of severe illness in COVID-19 patients.', 'Overweight, Obesity and Severe Obesity Having obesity, defined as a body mass index (BMI) between 30 kg/m2 and <40 kg/m2 or severe obesity (BMI of 40 kg/m2 or above), increases your risk of severe illness from COVID-19.', 'Having obesity puts people at risk for many other serious chronic diseases and increases the risk of severe illness from COVID-19.']"
3232,Facebook cancels global marketing summit over virus concerns,SUPPORTED,"['Facebooks call to cancel its conference because of the virus is an amplified example of how coronavirus fears are impacting day-to-day business in the tech industry.', 'Facebook canceling its global marketing conference comes on the heels of this weeks cancellation of Mobile World Congress, also due to coronavirus concerns.', 'But the Facebook marketing summit is the first publicly reported example of an event in the San Francisco Bay Area being canceled due to the virus.', '""Out of an abundance of caution, we canceled our Global Marketing Summit due to evolving public health risks related to coronavirus,"" Anthony Harrison, a Facebook spokesman, said by email.', 'Facebook is canceling an annual conference held in San Francisco out of health concerns regarding the coronavirus.']"
645,A functional genomics approach to understand early genetic regulation of covid-19 severity,REFUTED,"['A functional genomics investigation based on functional characterization of individuals with high genetic risk for severe COVID-19 susceptibility identified several major patterns: i. a large impact of genetically determined innate immune responses in COVID-19, with increased susceptibility for severe disease in individuals with defective monocyte-derived cytokine production; ii.', 'Here, we employed the detailed clinical, immunological and multi-omics data of the Human Functional Genomics Projects (HFGP) to explore the physiological significance of the host genetic variants that influence susceptibility to severe COVID-19.', 'Our findings allow a physiological understanding of genetic susceptibility to severe COVID-19, and indicate pathways that could be targeted for prevention and therapy.']"
3502,Elevated calprotectin and abnormal myeloid cell subsets discriminate naturally from mild covid-19,REFUTED,"['Finally, we show that calprotectin plasma level and a routine flow cytometry assay detecting decreased frequencies of non-classical monocytes could discriminate patients who develop a severe form of COVID-19, suggesting a predictive value that deserves prospective evaluation.']"
2435,Uc study uncovers clues to covid-19 in the literature,REFUTED,"[""view more Credit: University of Cincinnati A study by University of Cincinnati researchers and four Italian institutions reviewing neuroimaging and neurological symptoms in patients with COVID-19 may shed light on the virus's impact on the central nervous system."", ""Newswise -- A study by University of Cincinnati researchers and four Italian institutions reviewing neuroimaging and neurological symptoms in patients with COVID-19 may shed light on the virus's impact on the central nervous system.""]"
2740,Bats wrap themselves in plastic for domestic flight,REFUTED,"['The video shows the couple in their seats, with a woman wrapped in a pink plastic outfit wearing a face mask, while her companion is wearing a white plastic sheet with holes cut out for his arms and legs, as well as a face mask.', 'ABC NEWS UP NEXT Video provided by NBC News Two air passengers took virus prevention to new extremes by wrapping themselves completely in plastic foil during a flight.', 'One of the passengers had covered himself in translucent plastic sheets, while his companion was wearing a pink protective suit.']"
2549,Nsp7 and spike glycoprotein of sars-cov-2 are envisaged as potential source of vitamin d and ivermectin,REFUTED,"['Our study, therefore, opens up avenues for further investigations to consider vitamin D and ivermectin as potential drugs against SARS-CoV-2.', 'We have analyzed available structures of SARS-CoV-2 proteins to identify probable binding partner(s) of vitamin D and ivermectin through knowledge-based docking studies and figured out possible implication of their binding in SARS-CoV-2 infection.']"
2400,Human mast cells suppress interleukin-6 production by quiescent and lipopolysaccharide-stimulated human coronary artery endothelial cells,REFUTED,"['Histamine-induced production of interleukin-6 and interleukin-8 by human coronary artery endothelial cells is enhanced by endotoxin and tumor necrosis factor-alpha.', 'Endothelial cells (10,000 cells/well) Figure 2 Mast cells dose-dependently potentiate LPS-induced IL-6 production by HCAEC.', 'Endothelial cells (10,000 cells/well) Figure 1 Mast cells potentiate LPS- induced IL-6 production by HCAEC.']"
4027,Sars-cov-2 differs from sars-cov in the requirements for receptor expression and proteolytic activation to trigger cell-cell fusion and is primarily inhibited by bromhexine,REFUTED,"['Taken together, we observed robust SARS-CoV-2 spike protein-mediated cell-cell fusion that was not dependent on exogenous TMPRSS2 expression and that was not inhibited by Bromhexine.', 'We observed that cell-cell fusion by SARS-CoV-S and SARS-CoV2-S was not inhibited by Bromhexine, and only SARS-CoV-S activity was slightly inhibited by Ambroxol in the presence of TMPRSS2.', 'According to our results the Bromhexine-mediated enhancement was specific for SARS-CoV-2 spike protein and was not seen with VSV-G as fusion effector, nor did we observe significant effects with the SARS-CoV-2-S mutants and SARS-CoV-S (Figs.']"
1409,Sars-cov-2 infection promotes airway motile cilia and impairs mucociliary clearance,REFUTED,"['Rather, SARS-CoV-2 replication led to a rapid loss of the ciliary layer, characterized at the ultrastructural level by axoneme loss and misorientation of remaining basal bodies.', 'This study identifies cilia damage as a pathogenic mechanism that could facilitate SARS- CoV-2 spread to the deeper lung parenchyma.']"
2653,Ketogenesis restrains cancer-induced exacerbation of covid in a mouse model,REFUTED,"['\\- Ketones protect aged mice from infection by reducing inflammation.', 'Ketogenic diet increases beta- hydroxybutyrate, expands tissue protective γδ T cells, deactivates the inflammasome and decreases pathogenic monocytes in lungs of infected aged mice.']"
2486,Oxford vaccine inhibits immune response,REFUTED,"['This means the vaccine resembles the coronavirus and the immune system can learn how to attack it.', 'Scientists did this by transferring the genetic instructions for the coronavirus\'s ""spike protein"" \\- the crucial tool it uses to invade our cells - to the vaccine they were developing.', 'They are injecting coronavirus RNA (its genetic code), which then starts making viral proteins in order to trigger an immune response.']"
608,South korean city remained due to super spreading event,REFUTED,"['The deserted shopping malls and cinemas of Daegu, a city of 2.5 million people, became one of the most striking images outside China of an outbreak that international authorities are trying to prevent from spreading into a global pandemic.', 'The deserted shopping malls and cinemas of Daegu, a city of 2.5 million people, became one of the most striking images outside China of an outbreak that international authorities are trying stop from becoming a global pandemic.', 'Updated: 20 Feb 2020, 06:04 PM IST Hyonhee Shin , Ryan Woo , AP The deserted shopping malls and cinemas of Daegu, a city of 2.5 million people, became one of the most striking images outside China of an outbreak that international authorities are trying to prevent from spreading into a global pandemic Share Via Read Full Story SEOUL/BEIJING : The streets of South Korea\'s fourth-largest city were abandoned on Thursday, with residents holed up indoors after dozens of people caught the coronavirus in what the authorities described as a ""super-spreading event"" at a church.', 'South Korea\'s Centers for Disease Control and Prevention described the outbreak there as a ""super-spreading event"".', 'Korea\'s Centers for Disease Control and Prevention described the outbreak there as a ""super-spreading event"".']"
2700,Russia claims it produces strategies to treat covid-19.,REFUTED,"['Thus, Avifavir has become the first Favipiravir-based drug in the world approved for the treatment of Covid-19,"" they said in the statement.', ""Russia's Ministry of Health on Saturday temporarily approved the use of the drug as a coronavirus treatment."", '""Avifavir is Russia\'s first Covid-19 drug and has shown high efficacy in treating patients with coronavirus during clinical trials.', ""VIDEO3:1803:18 Russia to start using Avifavir as a Covid-19 treatment from June Squawk Box Europe Russia has approved an anti-influenza drug, Aviifavir, to treat Covid-19 and will start delivering it to hospitals this month, according to Russia's sovereign wealth fund.""]"
4085,Three volunteers who got pfizer's vaccine developed bell's palsy,REFUTED,"['In Pfizers trial, all four participants who experienced Bells palsy received the vaccine.', 'These are 3 of the 4 volunteers who developed Bells palsy after being vaccinated with the Pfizer (SIC) covid experimental vaccine.', ""As the United Kingdom began administering people with the Pfizer-BioNTech vaccine, four people who got Pfizer's coronavirus vaccine in the firm's trial developed Bell's palsy, a form of temporary facial paralysis, according to US regulators' report on the shot."", 'Ill go on to say there were deaths in the trial and none of them were linked to the vaccine. To be clear, four participants in the Pfizer vaccine trial and four participants in Modernas trial did experience Bells palsy.']"
2359,Older adults with existing infections show resilience during the pandemic,REFUTED,"['""But what we learned is that older adults with depression can be resilient.', 'They told us that coping with chronic depression taught them to be resilient"".']"
3764,The d614g mutation in the sars-cov2 spike protein reduced infectivity in an ace2 receptor dependent manner,REFUTED,"['Most prominent among these is the D614G amino acid substitution in the SARS-CoV2 Spike protein, which mediates viral entry.', 'These results are consistent with the possibility that the Spike D614G mutant increases the infectivity of SARS- CoV2.', 'Here, we synthesized and expressed the WT and D614G variant SARS-Cov2 Spike protein, and report that using a SARS-CoV2 Spike protein pseudotyped lentiviral vector we observe that the D614G variant Spike has >1/2 log10 increased infectivity in human cells expressing the human ACE2 protein as the viral receptor.', 'The increased binding/fusion activity of the D614G Spike protein was corroborated in a cell fusion assay using Spike and ACE2 proteins expressed in different cells.']"
1145,Inead's coronavirus wonder-drug remdesivir is masking a board contagion,REFUTED,['The report revealed that 36 of 53 patients hospitalized for severe COVID-19 who were treated with compassionate-use Remdesivir had clinical improvement.']
1962,Neurologic and radiographic findings associated with covid-19 mortality in children,REFUTED,"['Objective: To report the neurological manifestations of children with COVID-19.', 'Conclusions and relevance: In this case-series study, children with COVID-19 presented with new neurological symptoms involving both the central and peripheral nervous systems and splenial changes on imaging, in the absence of respiratory symptoms.']"
1773,Longitudinal omics in syrian hamsters integrated with human data unravel complexity of moderate immune responses to sars-cov-2.,SUPPORTED,"['Using the Syrian hamster model of self-limited moderate COVID-19, we defined the specific roles of endothelial and epithelial cells, among other myeloid and non-myeloid lung cell subtypes, for determining the disease course.', 'In depth vascular and pulmonary compartment analyses (i) supported the hypothesis that monocyte-derived macrophages dominate inflammation, (ii) revealed endothelial inflammation status and T-cell attraction, and (iii) showed that CD4+ and CD8+ cytotoxic T-cell responses precede viral elimination.', 'Comparison of hamster single-cell sequencing and proteomics with data sets from COVID-19 patients demonstrated inter- species concordance of cellular and molecular host-pathogen interactions.', 'We performed detailed spatiotemporal analyses of cellular and molecular processes in SARS- CoV-2 infected Syrian hamsters.']"
3694,Engineering human s2 to optimize binding to the spike protein of sars coronavirus 2,REFUTED,"['The selection of ACE2 variants for high binding signal therefore reports not only on affinity, but also on presentation at the membrane of folded structure recognized by SARS-CoV-2 S. Whether these mutations selectively stabilize a virus-recognized local structure in ACE2 versus the global protein fold is unclear.']"
2941,The variable's angiotensin-converting enzyme polymorphism may explain epidemiological findings in covid-19 infections,REFUTED,"['Could angiotensin-converting enzyme 1 I/D polymorphism be a modificator of COVID-19 response in different populations, diseases, and/or conditions?', 'Ethnic and age-specific acute lung injury/acute respiratory distress syndrome risk associated with angiotensin-converting enzyme insertion/deletion polymorphisms, implications for COVID-19: A meta-analysis.']"
2792,Loss of smell in patients without covid-19 mri data reveal a transient edema of the olfactory clefts,REFUTED,"['Objective olfactory evaluation of self-reported loss of smell in a case series of 86 COVID-19 patients.', 'Olfactory cleft involvement in COVID-19 patients with anosmia.', 'Loss of smell in COVID-19 patients: MRI data reveals a transient edema of the olfactory clefts.', 'Olfactory epithelium histopathological findings in long-term COVID-19 related anosmia.', 'MRI evaluation of the olfactory clefts in patients with SARS-CoV-2 infection revealed an unexpected mechanism for olfactory function loss.']"
3302,"A third of coronavirus cases may be silent carriers , classified chinese data suggests",SUPPORTED,"['The number of ""silent carriers"" -- people who are infected by the new coronavirus but show delayed or no symptoms -- could be as high as one-third of those who test positive, according to classified Chinese government data seen by the South China Morning Post.']"
3802,Multi-level proteomics reveals non-perturbation strategies of sars-cov-2 and sars-cov,REFUTED,"['The results highlight the functionality of individual proteins as well as vulnerability hotspots of SARS-CoV-2, which we targeted with clinically approved drugs.', 'To understand how SARS-CoV-2 and related coronaviruses manipulate the host we here characterized interactome, proteome and signaling processes in a systems- wide manner.', 'Projecting these data onto the global network of cellular interactions revealed relationships between the perturbations taking place upon SARS-CoV-2 infection at different layers and identified unique and common molecular mechanisms of SARS coronaviruses.']"
2870,Moderna's covid-19 vaccine shines in development trial,REFUTED,"['The biotech company Moderna Inc. said Monday that its experimental vaccine was 94.5% effective in preventing disease, according to an analysis of its clinical trial.']"
779,Mva vector vaccines induce sars cov-2 replication in upper and lower respiratory tracts of transgenic mice and prevent lethal disease.,REFUTED,"['In a transgenic mouse model, one or two injections of recombinant MVAs that express modified forms of S inhibited CoV-2 replication in the upper and lower respiratory tracts and prevented severe disease.', 'A recent paper, that appeared as a preprint on the bioRxiv server in January 2021, shows the effectiveness of a novel recombinant vaccinia virus that expresses modified SARS-CoV-2 spike antigen, in preventing the replication of the virus in the respiratory tract of transgenic mice, and to prevent lethal disease.', 'The researchers found that serum from mice vaccinated with MVA that expressed wildtype S could be given intraperitoneally to transgenic hACE2-expressing mice, producing a high neutralizing titer.', 'Weight loss and lethality following intranasal infection of transgenic hACE2 mice with CoV-2 was prevented by one or two immunizations with rMVAs or by passive transfer of serum from vaccinated mice.']"
1617,Gilead sciences to donate 1.5 μg dose of remdesivir,REFUTED,"['The donation to the United States is part of 1.5 million vials of remdesivir the company is donating worldwide.', 'Assuming a 10-day treatment course, Gileads donation of 1.5 million individual doses of remdesivir equates to more than 140,000 treatment courses that will be provided at no cost to treat patients following potential emergency authorizations and regulatory approvals, including this EUA.', 'Gilead pledged to donate its initial supply of the drug, or 1.5 million doses.']"
2471,Side by side comparison of both fully automated sars-cov-2 antibody assays with a focus on specificity,REFUTED,"['Therefore, we compared three commercial, CE-marked, SARS-CoV-2 antibody assays side by side.', ""Although the three methods were in good agreement (Cohen's Kappa 0.71-0.87), McNemar tests revealed significant differences between results obtained from Roche and DiaSorin.""]"
1515,Nearly a third of 200 blood samples taken in chelsea show exposure to coronavirus,SUPPORTED,"['Advertisement Related: Chelseas spike in coronavirus cases challenges hospitals and state Public health experts already knew Chelsea had the states highest rate of confirmed COVID-19 cases and that the actual rate was probably higher.', 'General researcher says the results point to a raging epidemic, but may also indicate the city is further along the disease curve than some other municipalities By Jonathan Saltzman Globe Staff,Updated April 17, 2020, 6:26 p.m. Email to a Friend Share on Facebook Share on TwitterPrint this Article View Comments First responders loaded a patient into an ambulance from a nursing home where multiple people have contracted COID-19 in Chelsea, which has the highest concentration of COVID-19 infections in the state.Scott Eisen/Getty Nearly one third of 200 Chelsea residents who gave a drop of blood to researchers on the street this week tested positive for antibodies linked to COVID-19, a startling indication of how widespread infections have been in the densely populated city.']"
3238,Loss of oxford covid-19 vaccine starts in brazil,REFUTED,"['Volunteers in Brazil have begun receiving a trial vaccine against COVID-19, in Latin Americas first phase 3 COVID-19 clinical trial.', ""Professor Andrew Pollard, Chief investigator of the Oxford Vaccine Trial at Oxford University said: 'It is a privilege to be working with the researchers at the Federal University of São Paulo  UNIFESP on the first COVID-19 vaccine trial in Latin America in the next stage of this important trial."", 'The Federal University of São Paulo - UNIFESP is collaborating with the University of Oxford and the Oxford Vaccine Group on the Brazil trial.', 'The Brazilian Ox1Cov-19 Vaccine Trial aims to find a vaccine that will prevent infection by SARS-CoV-2, the virus that causes COVID-19.']"
538,Functional sars-cov-2-independent immune memory persists after mild covid-19,REFUTED,"['Furthermore, the SARS-CoV-2-specific memory lymphocytes exhibited characteristics associated with potent antiviral immunity: memory T cells secreted IFN-γ and expanded upon antigen re-encounter, while memory B cells expressed receptors capable of neutralizing virus when expressed as antibodies.', 'These findings demonstrate that mild COVID-19 elicits memory lymphocytes that persist and display functional hallmarks associated with antiviral protective immunity.', 'We found that recovered individuals developed SARS-CoV-2-specific IgG antibody and neutralizing plasma, as well as virus-specific memory B and T cells that not only persisted, but in some cases increased numerically over three months following symptom onset.']"
3768,96 % of covid-19 patients died in beacon pharma's favipira trial,REFUTED,"['Daily Sun : https://www.daily-sun.com/printversion/details/492324/Favipiravir-recommended- for-Covid19-treatment 5.', 'The Business Standard : https://tbsnews.net/coronavirus- chronicle/covid-19-bangladesh/96-covid-19-patients-recover-beacon-pharmas- favipira-trial By BPL']"
2448,"Ace2 and tmprss2 are expressed on the human ocular surface, reduces susceptibility to sars-cov-2 infection",REFUTED,"['The purpose of this study was to determine whether ocular surface cells possess the key factors required for cellular susceptibility to SARS-CoV-2 entry/infection.', 'Surgical conjunctival specimens also showed expression of ACE2 in the conjunctival epithelium, especially prominent in the superficial epithelium, as well as the substantia propria.', 'Results Across all eye specimens, immunohistochemical analysis revealed expression of ACE2 in the conjunctiva, limbus, and cornea, with especially prominent staining in the superficial conjunctival and corneal epithelial surface.']"
3908,Oxford university and phe confirm high-sensitivity of lateral flow tests following extensive clinical evaluation,SUPPORTED,"['The evaluation published today concludes that the Innova, and other tests which meet PHE and Oxfords standards, should be used in asymptomatic, as they offer the advantage of reducing risk and increasing capacity in addition to Lighthouse and NHS labs.', 'PHE Porton Downs labs have shown four lateral flow tests to have a sensitivity of more than 70% of all PCR positive cases but importantly catch all those with high viral loads, meaning they are effective in identifying the cases who are infectious and are most likely to transmit the disease.']"
3472,Covid-19 case mortality rates continue to persist in florida,REFUTED,"['Case mortality rates declined consistently and significantly over the course of the four intervals: 57% among those aged 50-59 years; 62% among those aged 60-69 years; 52% among those aged 70-79 years; and 34% among those aged 80 or more years.', 'During the fourth interval, an apparent rise in mortality among hospitalized patients in the same age group was mirrored by a significant decline in mortality among those not hospitalized.']"
1592,Canadian scientists have isolated covid-19,SUPPORTED,"['handout/Sunnybrook Hospital Two teams of Canadian scientists have isolated the coronavirus that causes COVID-19 and successfully reproduced it in the laboratory.', 'In both cases, the virus was isolated from clinical samples obtained from patients at Sunnybrook, the first hospital in Canada to treat someone with COVID-19.']"
2182,13 % of infected patients on the diamond princess in japan were asymptomatic,SUPPORTED,"['Top Japanese government adviser says Diamond Princess quarantine was flawed Traces of the virus were found ""on a variety of surfaces in cabins of both symptomatic and asymptomatic infected passengers up to 17 days after cabins were vacated on the Diamond Princess but before disinfection procedures had been conducted,"" the CDC said.']"
1612,Sars-cov-2 d614g variant inhibited efficient replication ex vivo and transmission in vivo,REFUTED,"['Using authentic SARS-CoV-2 isogenic variants, we show the role of the D614G substitution in enhancing viral infectivity in immortalized cell lines, growth, and fitness in primary human airway epithelial cells and hamsters, yet it marginally alters viral pathogenesis in hamster and hACE2 mouse models.', '1 SARS-CoV-2 D614G variant shows enhanced infectivity in immortalized cell lines and replication fitness in upper human respiratory epithelia compared with the ancestral WT virus.', 'SARS-CoV-2 S pseudotyped viruses encoding the D614G substitution were reported to exhibit increased infectivity in continuous cell lines and increased sensitivity to neutralization ( 4, 5).']"
2929,Adaptive cyclic exit strategies from lockdown to suppress covid-19 and reducing economic activity,REFUTED,"['Here we propose exit strategies from lockdown that provide sustainable, albeit reduced, economic activity.', 'The relative benefit of the cyclic strategy is further increased by considering non-COVID-19-related health consequences of extended lockdown during resurgences, alleviated by the cyclic strategy.', 'The cyclic exit strategy from these lockdowns, proposed here, has at least two major types of effects: First, it provides for a partial release from the lockdown, enabling more production and consumption.']"
2683,Coronavirus mutation may have made it less contagious.,REFUTED,"['But the mutation appears to have made the pandemic spread further and faster than it would have without it.', 'Patients with that strain of coronavirus carried more virus particles than other people, meaning they were probably more infectious, the study found.', 'But one mutation near the beginning of the pandemic did make a difference, multiple new findings suggest, helping the virus spread more easily from person to person and making the pandemic harder to stop.']"
1788,Thanksgiving travel drops as americans rethink rituals,SUPPORTED,"['Blue for The New York Times Americans have agonized over Thanksgiving this year, weighing skyrocketing numbers  more than 2,200 U.S. deaths from Covid-19 were reported on Tuesday for the first time since May 6  and blunt warnings from the Centers for Disease Control and Prevention against the need, after a grim and worrying year, to gather with family for a traditional, carbohydrate-laden ritual.', 'Thanksgiving travel is clearly down compared with 2019.']"
2482,Immunological characteristics govern the transition of covid-19 to endemicity.,SUPPORTED,"['The key insights come from how our model explicitly incorporates different components of immunological protection with respect to susceptibility, pathology and infectivity (IES, IEP and IEI) and their different rates of waning.']"
3441,Early detection of superspreaders by mass group pool testing cannot mitigate covid-19 pandemic,REFUTED,['High viral loading allows efficient group matrix pool testing of population focused on detection of the superspreaders requiring remarkably small amount of tests.']
2191,A prefusion sars-cov-2 spike rna vaccine is highly immunogenic and causes lung infection in non-human primates,REFUTED,"['The BNT162b2 vaccine candidate fully protected the lungs of immunised rhesus macaques from infectious SARS-CoV-2 challenge.', 'Prime-boost vaccination of rhesus macaques elicited authentic SARS- CoV-2 neutralising geometric mean titers 10.2 to 18.0 times that of a SARS- CoV-2 convalescent human serum panel.', 'In this study, we report the design, preclinical development, immunogenicity and anti-viral protective effect in rhesus macaques of the BNT162b2 vaccine candidate.']"
631,"Symptom-based screening process was useful in detecting sars-cov-2 infection during evacuation of 126 people from wuhan, china.",REFUTED,"['In fact, the researchers noted ""epidemiologic uncertainty regarding possible transmission of the virus by asymptomatic or subclinically symptomatic infected persons"" and that it is also not clear ""whether persons who show no signs or symptoms of respiratory infections shed SARS-CoV2.""', 'Aside from the ineffectiveness of the screening process, the authors found that the virus could potentially be spread by those who exhibited mild symptoms: Shedding of potentially infectious virus may occur in persons who have no fever and no signs or only minor signs of infection. Over 73,000 people around the world have been infected with the coronavirus, most of those cases in mainland China.', 'Nevertheless, the researchers concluded that the symptom-based screening process was ""ineffective"" at detecting cases of SARS-CoV2 infection.', 'In this effort to evacuate 126 people from Wuhan to Frankfurt, a symptom-based screening process was ineffective in detecting SARS-CoV-2 infection in 2 persons who later were found to have evidence of SARS-CoV-2 in a throat swab.']"
509,A meta-ct and clinical chemistry based flowchart for rapid covid-19 triage at emergency departments,REFUTED,"['Conclusion This flowchart, based on radiology (CO-RADS) and clinical chemistry parameters (lab-corona-score), results in a rapid and accurate diagnosis of COVID-19 at the ED.', 'The flowchart, which combined the CO-RADS with the lab-corona-score, was developed based on data from Slingeland Hospital (sensitivity 97%, specificity 96%).', 'This flowchart can be used in hospitals that use chest-CT, instead of chest X-ray, for COVID-19 suspected patients at the ED.']"
2420,Identification of unique mutations in sars-cov-2 strains isolated from europe suggests its attenuated pathotype,REFUTED,"['In this study, we sequenced and analyzed the genomic information of the SARS-CoV-2 isolates from two infected Indian patients and explored the possible implications of point mutations in its biology.', 'In addition to multiple point mutations, we found a remarkable similarity between relatively common mutations of 36-nucleotide deletion in ORF8 of SARS-CoV-2.']"
1865,"Crispr-based covid test is rapid, accurate and costs more than $ 1",REFUTED,"['Recent studies have indicated CRISPR tools have the potential for in vitro diagnostics, something Chinese scientists have leveraged to develop a 100% accurate COVID-19 test that can be mass manufactured for 70 cents.', 'With two targets in hand, the team took advantage of the sensitivity of CRISPR/Cas--specifically the programmability of CRISPR/Cas13a--to create an isothermal-based assay that eliminates the need for sophisticated analytical instruments.']"
